,INC_TOT_VALUE,INC_MAL_VALUE,INC_FEM_VALUE,year,district,rent,mean_rent,fem_ratio,mal_ratio,tot_ratio
255,16.688,17.711,15.507,2012.0,915.0,12.55,941.25,0.73,0.64,0.68
256,18.578,19.983,17.009,2012.0,916.0,12.57,942.75,0.67,0.57,0.61
257,19.531,21.753,17.177,2012.0,917.0,11.94,895.5,0.63,0.49,0.55
258,24.171,28.808,19.817,2012.0,918.0,14.26,1069.5,0.65,0.45,0.53
259,25.826,31.546,20.145,2012.0,919.0,15.58,1168.5,0.7,0.44,0.54
260,17.548,18.702,16.22,2012.0,920.0,11.78,883.5,0.65,0.57,0.6
261,20.566,22.98,18.03,2012.0,921.0,12.43,932.25,0.62,0.49,0.54
262,22.44,25.666,19.164,2012.0,922.0,15.78,1183.5,0.74,0.55,0.63
263,23.62,27.422,19.839,2012.0,923.0,12.55,941.25,0.57,0.41,0.48
264,20.956,23.382,18.388,2013.0,0.0,14.04,1053.0,0.69,0.54,0.6
265,32.852,40.698,25.177,2013.0,901.0,19.41,1455.75,0.69,0.43,0.53
266,19.518,21.331,17.527,2013.0,902.0,14.62,1096.5,0.75,0.62,0.67
267,22.519,25.58,19.432,2013.0,903.0,15.02,1126.5,0.7,0.53,0.6
268,24.208,28.353,20.151,2013.0,904.0,15.19,1139.25,0.68,0.48,0.56
269,18.801,20.297,17.186,2013.0,905.0,13.99,1049.25,0.73,0.62,0.67
270,22.133,25.035,19.241,2013.0,906.0,15.31,1148.25,0.72,0.55,0.62
271,23.093,26.115,20.245,2013.0,907.0,14.82,1111.5,0.66,0.51,0.58
272,23.336,26.839,19.986,2013.0,908.0,15.07,1130.25,0.68,0.51,0.58
273,22.492,25.629,19.491,2013.0,909.0,14.71,1103.25,0.68,0.52,0.59
274,18.239,19.694,16.534,2013.0,910.0,11.82,886.5,0.64,0.54,0.58
275,19.369,21.378,17.123,2013.0,911.0,10.96,822.0000000000001,0.58,0.46,0.51
276,18.743,20.306,17.009,2013.0,912.0,13.31,998.25,0.7,0.59,0.64
277,27.581,33.355,22.14,2013.0,913.0,14.2,1065.0,0.58,0.38,0.46
278,22.233,24.936,19.501,2013.0,914.0,12.58,943.5,0.58,0.45,0.51
279,16.766,17.716,15.666,2013.0,915.0,12.05,903.75,0.69,0.61,0.65
280,18.701,20.019,17.247,2013.0,916.0,12.91,968.25,0.67,0.58,0.62
281,19.665,21.83,17.348,2013.0,917.0,12.74,955.5,0.66,0.53,0.58
282,24.15,28.654,19.96,2013.0,918.0,14.93,1119.75,0.67,0.47,0.56
283,25.588,30.929,20.328,2013.0,919.0,15.83,1187.25,0.7,0.46,0.56
284,17.657,18.805,16.342,2013.0,920.0,12.29,921.7499999999999,0.68,0.59,0.63
285,20.869,23.169,18.412,2013.0,921.0,12.63,947.2500000000001,0.62,0.49,0.54
286,22.515,25.688,19.29,2013.0,922.0,16.05,1203.75,0.75,0.56,0.64
287,23.94,27.688,20.171,2013.0,923.0,12.41,930.75,0.55,0.4,0.47
288,21.143,23.534,18.6,2014.0,0.0,14.13,1059.75,0.68,0.54,0.6
289,32.493,40.078,24.797,2014.0,901.0,19.45,1458.75,0.71,0.44,0.54
290,19.887,21.746,17.848,2014.0,902.0,14.69,1101.75,0.74,0.61,0.66
291,23.026,26.073,19.937,2014.0,903.0,14.5,1087.5,0.65,0.5,0.57
292,24.199,28.316,20.148,2014.0,904.0,14.65,1098.75,0.65,0.47,0.54
293,18.952,20.34,17.454,2014.0,905.0,14.34,1075.5,0.74,0.63,0.68
294,22.505,25.257,19.731,2014.0,906.0,14.7,1102.5,0.67,0.52,0.59
295,23.505,26.313,20.777,2014.0,907.0,15.01,1125.75,0.65,0.51,0.57
296,23.59,26.973,20.323,2014.0,908.0,14.71,1103.25,0.65,0.49,0.56
297,22.703,25.721,19.812,2014.0,909.0,14.97,1122.75,0.68,0.52,0.59
298,18.34,19.765,16.657,2014.0,910.0,12.3,922.5,0.66,0.56,0.6
299,19.489,21.418,17.327,2014.0,911.0,11.68,876.0,0.61,0.49,0.54
300,18.983,20.542,17.233,2014.0,912.0,13.28,996.0,0.69,0.58,0.63
301,27.604,33.517,22.037,2014.0,913.0,14.44,1083.0,0.59,0.39,0.47
302,22.388,24.97,19.744,2014.0,914.0,12.61,945.75,0.57,0.45,0.51
303,16.799,17.725,15.722,2014.0,915.0,12.87,965.2499999999999,0.74,0.65,0.69
304,18.733,20.073,17.253,2014.0,916.0,12.84,963.0,0.67,0.58,0.62
305,19.642,21.616,17.517,2014.0,917.0,12.89,966.75,0.66,0.54,0.59
306,24.164,28.397,20.197,2014.0,918.0,15.2,1140.0,0.68,0.48,0.57
307,25.803,31.082,20.564,2014.0,919.0,15.59,1169.25,0.68,0.45,0.54
308,17.861,19.012,16.531,2014.0,920.0,12.66,949.5,0.69,0.6,0.64
309,21.104,23.448,18.626,2014.0,921.0,12.8,960.0,0.62,0.49,0.55
310,22.83,26.022,19.593,2014.0,922.0,16.19,1214.25,0.74,0.56,0.64
311,24.061,27.771,20.302,2014.0,923.0,12.62,946.4999999999999,0.56,0.41,0.47
312,21.271,23.569,18.818,2015.0,0.0,14.18,1063.5,0.68,0.54,0.6
313,31.526,39.276,23.834,2015.0,901.0,19.23,1442.25,0.73,0.44,0.55
314,20.289,22.057,18.34,2015.0,902.0,14.92,1119.0,0.73,0.61,0.66
315,23.269,26.16,20.329,2015.0,903.0,14.43,1082.25,0.64,0.5,0.56
316,24.022,27.449,20.537,2015.0,904.0,15.18,1138.5,0.67,0.5,0.57
317,19.039,20.32,17.643,2015.0,905.0,14.24,1068.0,0.73,0.63,0.67
318,22.356,25.186,19.534,2015.0,906.0,14.9,1117.5,0.69,0.53,0.6
319,23.538,26.502,20.689,2015.0,907.0,14.98,1123.5,0.65,0.51,0.57
320,23.929,27.178,20.754,2015.0,908.0,14.63,1097.25,0.63,0.48,0.55
321,22.941,26.176,19.858,2015.0,909.0,14.54,1090.5,0.66,0.5,0.57
322,18.289,19.578,16.752,2015.0,910.0,12.87,965.2499999999999,0.69,0.59,0.63
323,19.627,21.456,17.56,2015.0,911.0,12.2,915.0,0.63,0.51,0.56
324,18.873,20.227,17.338,2015.0,912.0,12.88,966.0000000000001,0.67,0.57,0.61
325,28.199,34.095,22.612,2015.0,913.0,14.33,1074.75,0.57,0.38,0.46
326,22.534,25.127,19.852,2015.0,914.0,12.53,939.75,0.57,0.45,0.5
327,16.823,17.703,15.795,2015.0,915.0,12.66,949.5,0.72,0.64,0.68
328,18.887,20.151,17.493,2015.0,916.0,13.27,995.25,0.68,0.59,0.63
329,20.026,22.051,17.836,2015.0,917.0,12.82,961.5,0.65,0.52,0.58
330,24.347,28.392,20.539,2015.0,918.0,14.92,1119.0,0.65,0.47,0.55
331,25.675,30.76,20.703,2015.0,919.0,15.49,1161.75,0.67,0.45,0.54
332,17.912,18.936,16.725,2015.0,920.0,12.95,971.25,0.7,0.62,0.65
333,21.317,23.604,18.878,2015.0,921.0,13.11,983.25,0.63,0.5,0.55
334,22.973,26.104,19.79,2015.0,922.0,16.03,1202.25,0.73,0.55,0.63
335,24.265,27.829,20.657,2015.0,923.0,13.1,982.5,0.57,0.42,0.49
336,22.173,24.476,19.694,2016.0,0.0,14.41,1080.75,0.66,0.53,0.58
337,34.748,44.494,25.284,2016.0,901.0,19.18,1438.5,0.68,0.39,0.5
338,21.177,23.053,19.093,2016.0,902.0,14.83,1112.25,0.7,0.58,0.63
339,24.267,27.273,21.23,2016.0,903.0,15.16,1137.0,0.64,0.5,0.56
340,24.719,28.089,21.249,2016.0,904.0,15.45,1158.75,0.65,0.5,0.56
341,19.794,21.035,18.422,2016.0,905.0,14.61,1095.75,0.71,0.63,0.66
342,23.15,25.928,20.39,2016.0,906.0,15.57,1167.75,0.69,0.54,0.61
343,24.327,27.28,21.484,2016.0,907.0,15.08,1131.0,0.63,0.5,0.56
344,24.523,27.806,21.315,2016.0,908.0,14.83,1112.25,0.63,0.48,0.54
345,23.72,26.709,20.819,2016.0,909.0,15.04,1128.0,0.65,0.51,0.57
346,19.047,20.383,17.442,2016.0,910.0,12.78,958.5,0.66,0.56,0.6
347,20.374,22.312,18.174,2016.0,911.0,12.12,908.9999999999999,0.6,0.49,0.54
348,19.779,21.158,18.197,2016.0,912.0,13.54,1015.4999999999999,0.67,0.58,0.62
349,29.402,35.21,23.846,2016.0,913.0,14.51,1088.25,0.55,0.37,0.44
350,23.52,26.185,20.744,2016.0,914.0,12.8,960.0,0.56,0.44,0.49
351,17.528,18.326,16.565,2016.0,915.0,12.79,959.2499999999999,0.69,0.63,0.66
352,19.702,20.909,18.357,2016.0,916.0,13.16,987.0,0.65,0.57,0.6
353,20.935,22.878,18.823,2016.0,917.0,12.96,972.0000000000001,0.62,0.51,0.56
354,25.137,28.781,21.703,2016.0,918.0,14.51,1088.25,0.6,0.45,0.52
355,26.607,31.756,21.515,2016.0,919.0,15.49,1161.75,0.65,0.44,0.52
356,18.515,19.534,17.318,2016.0,920.0,13.15,986.25,0.68,0.61,0.64
357,22.33,24.649,19.853,2016.0,921.0,13.74,1030.5,0.62,0.5,0.55
358,24.213,27.406,20.96,2016.0,922.0,16.53,1239.75,0.71,0.54,0.61
359,25.257,28.796,21.612,2016.0,923.0,13.69,1026.75,0.57,0.43,0.49
360,22.362,24.606,19.926,2017.0,0.0,14.8,1110.0,0.67,0.54,0.6
361,34.482,43.291,25.836,2017.0,901.0,19.45,1458.75,0.68,0.4,0.51
362,21.527,23.329,19.507,2017.0,902.0,15.37,1152.75,0.71,0.59,0.64
363,24.525,27.449,21.536,2017.0,903.0,15.81,1185.75,0.66,0.52,0.58
364,25.325,28.646,21.863,2017.0,904.0,15.8,1185.0,0.65,0.5,0.56
365,20.056,21.191,18.788,2017.0,905.0,14.91,1118.25,0.71,0.63,0.67
366,23.57,26.17,20.951,2017.0,906.0,16.02,1201.5,0.69,0.55,0.61
367,24.654,27.563,21.812,2017.0,907.0,15.53,1164.75,0.64,0.51,0.57
368,24.464,27.658,21.325,2017.0,908.0,15.01,1125.75,0.63,0.49,0.55
369,24.091,26.974,21.263,2017.0,909.0,14.79,1109.25,0.63,0.49,0.55
370,19.122,20.464,17.481,2017.0,910.0,13.79,1034.25,0.71,0.61,0.65
371,20.568,22.493,18.365,2017.0,911.0,12.53,939.75,0.61,0.5,0.55
372,20.083,21.449,18.502,2017.0,912.0,13.91,1043.25,0.68,0.58,0.62
373,29.357,34.92,23.979,2017.0,913.0,14.83,1112.25,0.56,0.38,0.45
374,23.726,26.262,21.066,2017.0,914.0,14.38,1078.5,0.61,0.49,0.55
375,17.893,18.729,16.884,2017.0,915.0,13.24,993.0,0.71,0.64,0.67
376,19.86,21.056,18.505,2017.0,916.0,13.42,1006.5,0.65,0.57,0.61
377,21.091,22.962,19.047,2017.0,917.0,13.54,1015.4999999999999,0.64,0.53,0.58
378,25.56,29.294,22.026,2017.0,918.0,14.97,1122.75,0.61,0.46,0.53
379,26.728,31.641,21.886,2017.0,919.0,15.73,1179.75,0.65,0.45,0.53
380,18.738,19.742,17.544,2017.0,920.0,13.39,1004.25,0.69,0.61,0.64
381,22.338,24.588,19.923,2017.0,921.0,13.83,1037.25,0.62,0.51,0.56
382,24.427,27.641,21.14,2017.0,922.0,16.31,1223.25,0.69,0.53,0.6
383,25.209,28.658,21.658,2017.0,923.0,13.89,1041.75,0.58,0.44,0.5
384,22.943,25.189,20.484,2018.0,0.0,15.49,1161.75,0.68,0.55,0.61
385,33.256,39.889,26.266,2018.0,901.0,20.34,1525.5,0.7,0.46,0.55
386,22.286,24.349,19.975,2018.0,902.0,16.95,1271.25,0.76,0.63,0.68
387,24.172,26.577,21.614,2018.0,903.0,16.19,1214.25,0.67,0.55,0.6
388,25.878,29.397,22.219,2018.0,904.0,15.94,1195.5,0.65,0.49,0.55
389,20.479,21.832,18.972,2018.0,905.0,16.07,1205.25,0.76,0.66,0.71
390,23.971,26.7,21.223,2018.0,906.0,16.79,1259.25,0.71,0.57,0.63
391,25.1,27.92,22.355,2018.0,907.0,16.23,1217.25,0.65,0.52,0.58
392,25.142,28.198,22.088,2018.0,908.0,14.83,1112.25,0.6,0.47,0.53
393,24.701,27.464,22.029,2018.0,909.0,15.95,1196.25,0.65,0.52,0.58
394,19.478,20.761,17.864,2018.0,910.0,15.47,1160.25,0.78,0.67,0.71
395,21.606,23.712,19.22,2018.0,911.0,13.18,988.5,0.62,0.5,0.55
396,20.537,22.004,18.823,2018.0,912.0,14.72,1104.0,0.7,0.6,0.65
